mjd, region, lo_mu, hi_mu, pixel_frac, light_frac, v_hat, v_phot, v_quiet, v_conv, mag_unsigned, avg_int, avg_int_flat
56662.998716435184,2.5,0.5,0.6,5.0138972525388434e-05,3.24975e-05,-514.2478,-598.5259186206483,0.0,-473.2248,542.828,30914.095890410958,39970.1832797487

56662.998716435184,3,0.5,0.6,8.843003715950358e-06,6.151209e-06,134.98524,-467.1998478570375,0.0,176.00824,525.24207,33177.42718446602,42719.62589698604

56662.998716435184,4,0.5,0.6,0.10585135546076084,0.098674275,-41.022995,0.0,-41.022995,0.0,6.180612,44462.056628305065,57051.015726989666

56662.998716435184,5,0.5,0.6,0.003090844434737173,0.002939989,23.340128,2.02604282228036,0.0,64.36312,46.19358,45368.101552734646,58082.945641526334

56662.998716435184,6,0.5,0.6,0.00211519497621232,0.002040074,14.408822,15.5542803188003,0.0,55.431816,88.1036,46002.08921540772,58978.444065252035

56662.998716435184,7,0.5,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,1,0.6,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,2,0.6,0.7000000000000001,8.585440500922678e-08,7.397957e-08,-54.71175,164.11437118316212,0.0,4.595463,546.3,41099.0,50344.724028772725

56662.998716435184,2.5,0.6,0.7000000000000001,2.575632150276803e-07,2.210693e-07,-17.152815,169.52381355696426,0.0,42.154396,579.8682,40938.0,50146.67913580759

56662.998716435184,3,0.6,0.7000000000000001,1.7170881001845356e-07,1.4708972e-07,1.7376559,172.24452177602927,0.0,61.04487,596.7515,40857.5,50047.65668932503

56662.998716435184,4,0.6,0.7000000000000001,0.12354577662435247,0.12345771,-59.307213,0.0,-59.307213,0.0,6.0489545,47662.00800408613,56920.01083992886

56662.998716435184,5,0.6,0.7000000000000001,0.0043968616437375305,0.004459905,17.647266,2.709454660456961,0.0,76.95448,50.930763,48379.886044558996,57669.88979364925

56662.998716435184,6,0.6,0.7000000000000001,0.0033665229292218,0.0034467161,41.762363,2.807258736166962,0.0,101.06958,96.42342,48832.16321534224,58392.60637131126

56662.998716435184,7,0.6,0.7000000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,1,0.7000000000000001,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0

56662.998716435184,2,0.7000000000000001,0.8,8.585440500922678e-08,8.11185e-08,-36.295773,128.37199068159376,0.0,17.500248,378.8,45065.0,50301.18914984071

56662.998716435184,2.5,0.7000000000000001,0.8,1.1847907891273295e-05,9.850625e-06,207.52615,269.90292761094787,0.0,261.32217,684.45245,39655.565217391304,44221.36255709738

56662.998716435184,3,0.7000000000000001,0.8,1.1762053486264068e-05,9.7695065e-06,209.5507,271.07809217357965,0.0,263.34674,686.9904,39616.0802919708,44176.98426079999

56662.998716435184,4,0.7000000000000001,0.8,0.14249401551869884,0.15135486,-53.79602,0.0,-53.79602,0.0,5.862481,50661.93938364191,56909.71375859516

56662.998716435184,5,0.7000000000000001,0.8,0.005630417734910101,0.006030443,52.224167,2.319896638703432,0.0,106.02019,52.245922,51084.676842378125,57322.90659056717

56662.998716435184,6,0.7000000000000001,0.8,0.002864789786347879,0.0030780109,76.95278,-2.099107726950799,0.0,130.74881,104.94537,51245.93622632462,57760.385882228875

56662.998716435184,7,0.7000000000000001,0.8,0.0005154698476753975,0.0005604234,178.09282,3.762263693574818,0.0,231.88884,40.72063,51855.52564956695,56911.1239710236

56662.998716435184,1,0.8,0.9,0.00018707674851510515,6.816958e-05,148.92447,1683.813901984509,0.0,189.01274,1252.5773,17380.122992198256,18401.06673049101

56662.998716435184,2,0.8,0.9,0.0006120560533107777,0.00051730627,-668.434,283.3518047795338,0.0,-628.34576,620.47107,40312.39163978118,43013.835191705366

56662.998716435184,2.5,0.8,0.9,0.0015963768067415627,0.0013361416,70.32343,283.6716721452255,0.0,110.4117,540.06433,39920.78993223621,42403.60685869033

56662.998716435184,3,0.8,0.9,0.000984320753430785,0.00081883586,537.0393,283.87359133171395,0.0,577.12756,489.26688,39677.3121674662,42024.16352802623

56662.998716435184,4,0.8,0.9,0.15063215456952345,0.1689152,-40.08827,0.0,-40.08827,0.0,5.6158023,53485.132824206456,57042.35803998319

56662.998716435184,5,0.8,0.9,0.007026667923575156,0.007900795,89.90363,1.6552615674450355,0.0,129.9919,57.65531,53629.453887884265,57151.58104755553

56662.998716435184,6,0.8,0.9,0.00589802591532386,0.0066908277,136.90915,1.6729462669805133,0.0,176.99742,118.34038,54107.21616349821,57277.813550535

56662.998716435184,7,0.8,0.9,0.0063766642232503,0.007025129,189.63773,19.42823705309338,0.0,229.726,142.77043,52546.380838258854,55882.635469741756

